scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-04T13:33:01.513169,Xiaomi 11T 8/128GB Meteorite Gray,https://allo.ua/ua/products/mobile/xiaomi-11t-8-128gb-meteorite-gray.html,868298,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,11999,14499,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:33:07.909925,Apple iPhone 11 128GB Black (MHDH3) Slim Box,https://allo.ua/ua/products/mobile/apple-iphone-11-256gb-green-mhdv3-slim-box_6.html,718646,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Apple",True,20499,22999,Official Apple Dealer,"Акція,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:33:13.247595,Планшет Lenovo Tab M8 HD 2/32 LTE Platinum Grey (ZA5H0088UA),https://allo.ua/ua/products/internet-planshety/lenovo-m8-tb-8505x-8-2-32gb-lte-za5h0088ua-platinum-grey.html,594488,"Інтернет магазин,Планшети,Планшети Lenovo",True,4499,,allo,"КЕШБЕК 10%,Акція,Кредит,Оплата частинами,кешбек"
2022-01-04T13:33:19.620436,"Планшет Samsung Galaxy Tab А7 Lite 8.7"" 3/32Gb Wi-Fi Grey (SM-T220NZAASEK)",https://allo.ua/ua/products/internet-planshety/planshet-samsung-galaxy-tab-a7-lite-8-7-3-32gb-wi-fi-grey-sm-t220nzaasek.html,842591,"Інтернет магазин,Планшети,Планшети Samsung",True,4699,,allo,"КЕШБЕК 5%,Акція,Кредит,Оплата частинами,кешбек"
2022-01-04T13:33:27.048357,Планшет Lenovo Tab M8 HD 2/32GB WiFi Iron Grey (ZA5G0054UA),https://allo.ua/ua/products/internet-planshety/lenovo-tab-m8-hd-2-16gb-wifi-iron-grey-za5g0054ua.html,639299,"Інтернет магазин,Планшети,Планшети Lenovo",True,3999,,allo,"КЕШБЕК 10%,Акція,Кредит,Оплата частинами,кешбек"
2022-01-04T13:33:41.074138,Microsoft Xbox Series X 1Tb + FIFA 21 (російська версія) + дод. Wireless Controller with Bluetooth (Carbon Black),https://allo.ua/ua/igrovye-pristavki/microsoft-xbox-series-x-1tb-fifa-21-russkaja-versija-dop-wireless-controller-with-bluetooth-carbon-black.html,44070-0108,"Інтернет магазин,Ігрові консолі,Ігрові консолі Microsoft",True,24099,,Date,
2022-01-04T13:33:49.194299,"Телевізор 50"" Samsung QE50Q60AAUXUA Black",https://allo.ua/ua/televizory/50-samsung-qe50q60aauxua-black.html,775216,"Інтернет магазин,Телевізори,Телевізори Samsung",True,,28999,allo,"Акція,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:33:56.776228,"Телевізор 43"" Samsung QE43LS03AAUXUA Black",https://allo.ua/ua/televizory/43-samsung-qe43ls03aauxua-black.html,775211,"Інтернет магазин,Телевізори,Телевізори Samsung",True,,32999,allo,"Акція,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:03.723430,Xiaomi 11 Lite 5G NE 8/128GB Blue,https://allo.ua/ua/products/mobile/xiaomi-11-lite-5g-ne-8-128gb-blue.html,868293,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,9999,11999,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:10.134942,Проектор BenQ MS630ST (9H.JDY77.13E),https://allo.ua/ua/proektory/benq-ms630st-9h-jdy77-13e.html,TE20190823LT187-0087,"Інтернет магазин,Проектори,Проектори BenQ",True,18538,20392,Trade Electronics,
2022-01-04T13:34:14.264747,Xiaomi 11T 8/256GB Meteorite Gray,https://allo.ua/ua/products/mobile/xiaomi-11t-8-256gb-meteorite-gray.html,868301,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,13499,15999,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:20.333111,Xiaomi Redmi 9C 2/32GB Midnight Gray,https://allo.ua/ua/products/mobile/xiaomi-redmi-9c-2-32gb-midnight-gray.html,660922,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,3499,,allo,"Акція,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:24.406564,Рюкзак Frime City Brown (City Brown),https://allo.ua/ua/rjukzaki-i-sumki/rjukzak-frime-city-brown-city-brown.html,707276,"Інтернет магазин,Рюкзаки,Рюкзаки Frime",True,589,639,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:31.141799,Xiaomi Redmi 10 4/64GB White,https://allo.ua/ua/products/mobile/xiaomi-redmi-10-4-64gb-white.html,868285,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,5199,,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:36.212960,Xiaomi Redmi 9A 2/32GB Sky Blue,https://allo.ua/ua/products/mobile/xiaomi-redmi-9a-2-32gb-sky-blue.html,660920,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Xiaomi",True,3199,,allo,"Акція,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:42.789869,"Велосипедний ліхтар LR-Y2Pro DUAL MEGA LIGHT, 2 кріплення, алюміній, micro USB, вбудований акумулятор",https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-lr-y2pro-dual-mega-light-2-kreplenija-aljuminij-micro-usb-vstroennyj-akkumuljator.html,1466942326-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,449,,BBaza,
2022-01-04T13:34:47.968018,Відпарювач Deerma DEM-HS200,https://allo.ua/ua/otparivateli/deerma-dem-hs200.html,662176,"Інтернет магазин,Відпарювачі,Відпарювачі Xiaomi",True,1499,1699,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:34:52.691510,Фотоепілятор COSBEAUTY IPL Hair Removal Device White,https://allo.ua/ua/fotojepiljatory/xiaomi-cosbeauty-ipl-hair-removal-device-white.html,608638,"Інтернет магазин,Фотоепілятори,Фотоепілятори Xiaomi",True,7499,12999,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:35:00.996126,Кулон зі срібла з емаллю (1687416),https://allo.ua/ua/podveski-i-kulony/kulon-iz-serebra-s-jemal-ju-1687416.html,1687416-0105,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1299,2165,GO,
2022-01-04T13:35:07.490694,Браслет плетений UMa & UMi Весела бджілка Рожевий (419565500611),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-veselaja-pchelka-rozovyj-419565500611.html,124860-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:14.039352,Браслет плетений UMa & UMi Весела бджілка Жовтий (419565500605),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-veselaja-pchelka-zheltyj-419565500605.html,124859-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:20.350690,Браслет на ланцюжку UMa & UMi Сердечко в сердечку Червоно Білий (419560000628),https://allo.ua/ua/braslety-1/braslet-na-cepochke-uma-umi-serdechko-v-serdechke-krasno-belyj-419560000628.html,123424-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:26.766057,Браслет плетений UMa & UMi цуценя Жовтий (419565400605),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-schenka-zheltyj-419565400605.html,123432-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:33.040490,Браслет плетений UMa & UMi Губки Червоний (419555300607),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-gubki-krasnyj-419555300607.html,123421-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:39.302687,Браслет на ланцюжку UMa & UMi Ляля (419564800611),https://allo.ua/ua/braslety-1/braslet-na-cepochke-uma-umi-ljalja-419564800611.html,123430-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1638,,UNOW,
2022-01-04T13:35:46.006435,Браслет плетений UMa & UMi Мишка із серцем (419556300611),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-mishka-s-serdcem-419556300611.html,123422-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:35:53.052568,Кулон UMa & UMi Корона велика (359559100619),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-korona-bol-shaja-359559100619.html,123402-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1183,,UNOW,
2022-01-04T13:35:59.409999,Кулон UMa & UMi Серце в серце біло червоне (319556900621),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-serdce-v-serdce-belo-krasnoe-319556900621.html,123404-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1183,,UNOW,
2022-01-04T13:36:05.810889,Кулон UMa & UMi Губки червоні (319555300607),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-gubki-krasnye-319555300607.html,123400-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:36:12.538980,Кулон UMa & UMi Жираф (319554300620),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-zhiraf-319554300620.html,123394-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:36:18.772336,Кулон UMa & UMi Метелик з очима фіолетовий (319543000613),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-babochka-s-glazami-fioletovyj-319543000613.html,123393-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:36:25.466562,Кулон UMa & UMi Мишка фіолетовий (319542900613),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-myshka-fioletovyj-319542900613.html,123391-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1183,,UNOW,
2022-01-04T13:36:31.760869,Кулон UMa & UMi Єдиноріг блакитний (319542400604),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-edinorog-goluboj-319542400604.html,123389-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1183,,UNOW,
2022-01-04T13:36:45.746656,Кулон UMa & UMi Пташка блакитна (319541600604),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-ptichka-golubaja-319541600604.html,123384-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:36:52.865032,Браслет плетений UMa & UMi Сова Фіолетовий (419560500613),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-sova-fioletovyj-419560500613.html,123425-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:36:59.650150,Кулон UMa & UMi Метелик з очима рожевий (319543000611),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-babochka-s-glazami-rozovyj-319543000611.html,123392-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:37:04.790616,Женские часы GUESS W1156L5,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1156l5.html,755598,"Интернет магазин,Наручные часы,Наручные часы Guess",True,6099,9490,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:37:14.842599,Кулон UMa & UMi Пташка рожева (319541600611),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-ptichka-rozovaja-319541600611.html,123385-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1092,,UNOW,
2022-01-04T13:37:20.945297,Кольє UMa UMi Лола (719564700604),https://allo.ua/ua/kol-e-1/kol-e-uma-umi-lola-719564700604.html,123442-0683,"Інтернет магазин,Кольє,Кольє UMa&UMi",True,1729,,UNOW,
2022-01-04T13:37:27.292474,Цепочка UMa UMi серебряный (500530000601),https://allo.ua/ua/cepochki/cepochka-uma-umi-serebrjanyj-500530000601.html,123436-0683,"Інтернет магазин,Ланцюжки,Ланцюжки UMa&UMi",True,273,,UNOW,
2022-01-04T13:37:33.581124,Браслет плетений UMa & UMi Жираф Помаранчевий (419554300620),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-zhiraf-oranzhevyj-419554300620.html,124856-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:37:41.860984,Женские часы FURLA R4251116505,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-furla-r4251116505.html,755546,"Интернет магазин,Наручные часы,Наручные часы Furla",True,2879,6369,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:37:49.338166,Женские часы GUESS GW0047L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-gw0047l1.html,755869,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4999,7280,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:37:54.845739,Женские часы GUESS W1160L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1160l1.html,755463,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4999,7170,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:01.711439,Мужские часы MASERATI R8873621014,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-maserati-r8873621014.html,755744,"Интернет магазин,Наручные часы,Наручные часы Maserati",True,4829,6710,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:08.720195,Женские часы GUESS W0443L4,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w0443l4.html,755932,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5999,8510,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:14.755144,Мужские часы GUESS W1310G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-w1310g1.html,755611,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5659,7870,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:20.922597,Женские часы GUESS W1313L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1313l1.html,755957,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4269,5940,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:28.902844,Женские часы GUESS GW0033L3,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-gw0033l3.html,755731,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5439,7560,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:33.419656,Женские часы GUESS W1293L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1293l1.html,755910,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5399,7560,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:40.109008,Мужские часы R8871621004,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-r8871621004.html,772158,"Интернет магазин,Наручные часы,Наручные часы Maserati",True,4279,5950,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:45.445992,Мужские часы MASERATI R8873134003,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-maserati-r8873134003.html,755557,"Интернет магазин,Наручные часы,Наручные часы Maserati",True,7069,9820,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:50.690692,Мужские часы MASERATI R8873638001,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-maserati-r8873638001.html,755745,"Интернет магазин,Наручные часы,Наручные часы Maserati",True,6869,9550,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:38:56.867139,Женские часы GUESS W1142L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1142l1.html,755462,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4299,5990,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:01.574630,Женские часы GUESS GW0030L3,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-gw0030l3.html,755750,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5239,7280,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:06.112947,Мужские часы GUESS GW0215G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0215g1.html,755946,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4279,5950,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:12.885110,Мужские часы GUESS GW0057G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0057g1.html,755757,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5239,7280,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:17.631590,Универсальные часы WELDER  WWRC207,https://allo.ua/ru/naruchnye-chasy/universal-nye-chasy-welder-wwrc207.html,755394,"Интернет магазин,Наручные часы,Наручные часы Welder",True,8049,11188,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:22.745338,Мужские часы GUESS W1132G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-w1132g1.html,755537,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5399,7730,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:28.845784,Мужские часы GUESS GW0211G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0211g1.html,755886,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4589,6380,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:35.325005,Мужские часы GUESS GW0211G3,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0211g3.html,755884,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5239,7280,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:41.320672,Женские часы GUESS W1201L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1201l1.html,755449,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4199,6110,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:46.762483,Женские часы GUESS GW0222L1,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-gw0222l1.html,772146,"Интернет магазин,Наручные часы,Наручные часы Guess",True,3239,5835,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:52.237578,Мужские часы GUESS GW0066G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-gw0066g1.html,772125,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4139,7170,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:39:58.325533,Мужские часы GUESS GW0051G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-gw0051g1.html,772124,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4139,6880,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:40:04.826875,Женские часы GUESS GW0047L2,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-gw0047l2.html,755941,"Интернет магазин,Наручные часы,Наручные часы Guess",True,6469,8995,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:40:11.257905,Мужские часы GUESS GW0216G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0216g1.html,755933,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4139,6750,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:40:17.126004,Мужские часы GUESS GW0204G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0204g1.html,755882,"Интернет магазин,Наручные часы,Наручные часы Guess",True,5039,8170,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:40:25.163632,Браслет плетений UMa & UMi Квіточка з сердечком Біло Рожевий (419560800624),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-cvetochek-s-serdechkom-belo-rozovyj-419560800624.html,123427-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:40:31.562586,Браслет плетений UMa & UMi Єдиноріг блакитний (419542400604),https://allo.ua/ua/braslety-1/braslet-pletenyj-uma-umi-edinorog-goluboj-419542400604.html,124854-0683,"Інтернет магазин,Браслети,Браслети UMa&UMi",True,1274,,UNOW,
2022-01-04T13:40:37.809926,Кулон зі срібла з емаллю (1705497),https://allo.ua/ua/podveski-i-kulony/kulon-iz-serebra-s-jemal-ju-1705497.html,1705497-0105,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1199,1999,GO,
2022-01-04T13:40:44.275052,Кулон UMa & UMi Мишка Панда біло чорний (319541800602),https://allo.ua/ua/podveski-i-kulony/kulon-uma-umi-mishka-panda-belo-chernyj-319541800602.html,123386-0683,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1183,,UNOW,
2022-01-04T13:40:50.713433,Кулон зі срібла з Swarovski Zirconia (1695260),https://allo.ua/ua/podveski-i-kulony/kulon-iz-serebra-s-swarovski-zirconia-1695260.html,1695260-0105,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1199,1999,GO,
2022-01-04T13:40:57.029004,Кулон зі срібла з куб. цирконіями і емаллю (1687422),https://allo.ua/ua/podveski-i-kulony/kulon-iz-serebra-s-kub-cirkonijami-i-jemal-ju-1687422.html,1687422-0105,"Інтернет магазин,Підвіски і кулони,Підвіски і кулони UMa&UMi",True,1199,1999,GO,
2022-01-04T13:41:05.469587,"Велосипедний ліхтар + комп'ютер + дзвінок XA-585-T6 + 2LED, micro USB, вбудований акумулятор",https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-komp-juter-zvonok-xa-585-t6-2led-micro-usb-vstroennyj-akkumuljator_1.html,1324077295-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,440,,BBaza,
2022-01-04T13:41:11.930685,Велосипедний ліхтар JB-3083 з велосипедним комп'ютером і дзвінком,https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-jb-3083-s-velosipednym-komp-juterom-i-zvonkom.html,1399293750-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,590,,BBaza,
2022-01-04T13:41:18.358724,Велосипедний ліхтар Bailong BL 8626 з кріпленням на кермо (26-tg),https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-bailong-bl-8626-s-krepleniem-na-rul-26-tg.html,7399-2182,"Інтернет магазин,Велофари,Велофари Bailong",True,259,350,trend-g,
2022-01-04T13:41:24.597398,"Велосипедний ліхтар + дзвінок FY-329Pro-2L2 ULTRA LIGHT, MEGA SIGNAL, сонячна батарея, вбудований акумулятор",https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-zvonok-fy-329pro-2l2-ultra-light-mega-signal-solnechna-batareja-vstroennyj-akkumuljator.html,1324078021-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,380,,BBaza,
2022-01-04T13:41:30.008703,Очисник повітря Mi Air Purifier 2С,https://allo.ua/ua/ochistiteli-vozduha/ochistitel-vozduha-mi-air-purifier-2c.html,646397,"Інтернет магазин,Очищувачі повітря,Очищувачі повітря Xiaomi",True,2499,2999,allo,"КЕШБЕК 10%,Акція,Кредит,Оплата частинами,кешбек"
2022-01-04T13:41:35.693760,Зволожувач повітря Deerma DEM-LD220,https://allo.ua/ua/uvlazhniteli-vozduha/deerma-dem-sjs600.html,633254,"Інтернет магазин,Зволожувачі повітря,Зволожувачі повітря Xiaomi",True,1299,1499,allo,"Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:41:41.388577,Кавоварка Scishare Capsule Coffee Machine mini S1201,https://allo.ua/ua/products/kofevarki/scishare-capsule-coffee-machine-mini-s1201.html,673929,"Інтернет магазин,Кавоварки,Кавоварки Xiaomi",True,2999,3499,allo,"КЕШБЕК 5%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:41:47.961349,"Велосипедний ліхтар маячок HJ-009, 2 LED, білий, 2шт",https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-majachok-hj-009-2-led-belyj-2sht.html,1471698717-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,47,,BBaza,
2022-01-04T13:41:54.288760,Велосипедний ліхтар з велосипедним дзвінком FY-037-3LED,https://allo.ua/ua/velosipednye-fary/velosipednyj-fonar-s-velosipednym-zvonkom-fy-037-3led.html,1325165622-1819,"Інтернет магазин,Велофари,Велофари Bailong",True,125,,BBaza,
2022-01-04T13:41:59.933947,Женские часы GUESS W1160L4,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-w1160l4.html,772151,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4299,5990,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:05.288934,Мужские часы MASERATI R8873638003,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-maserati-r8873638003.html,755680,"Интернет магазин,Наручные часы,Наручные часы Maserati",True,7119,9900,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:11.447420,Мужские часы хронограф GUESS W0668G7,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-hronograf-guess-w0668g7.html,755415,"Интернет магазин,Наручные часы,Наручные часы Guess",True,4959,7360,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:17.457671,Мужские часы 33 Element 331733,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-33-element-331733.html,755338,"Интернет магазин,Наручные часы,Наручные часы 33 ELEMENT",True,1619,2250,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:23.956415,Мужские часы GC Y52002G2MF,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-gc-y52002g2mf.html,755890,"Интернет магазин,Наручные часы,Наручные часы GC",True,12499,17360,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:30.399329,Мужские часы GUESS GW0053G1,https://allo.ua/ru/naruchnye-chasy/muzhskie-chasy-guess-gw0053g1.html,755756,"Интернет магазин,Наручные часы,Наручные часы Guess",True,6099,8470,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
2022-01-04T13:42:38.272101,Женские часы GUESS W1210L3,https://allo.ua/ru/naruchnye-chasy/zhenskie-chasy-guess-w1210l3.html,755947,"Интернет магазин,Наручные часы,Наручные часы Guess",True,3339,4640,allo,"КЕШБЕК 10%,Кредит,Оплата частинами,Fishka,кешбек"
